ncores;expl_var;k_max;T;m;MC;A;I
2;0.8;10;512;256;47.2;;643.14
4;0.8;10;512;256;40.62;;532.53
1;0.95;10;512;256;62.31;;2374.67
2;0.95;10;512;256;45.44;;1965
4;0.95;10;512;256;44.16;;1387.19
1;0.6;3;32;512;1.23;;1.7
2;0.6;3;32;512;1.5;;1.79
4;0.6;3;32;512;2.18;;2.49
1;0.8;3;32;512;1.23;;1.71
2;0.8;3;32;512;1.45;;1.79
4;0.8;3;32;512;2.13;;2.47
1;0.95;3;32;512;1.23;;2.89
2;0.95;3;32;512;1.44;;2.87
4;0.95;3;32;512;2.14;;3.29
1;0.6;7;32;512;2.86;;5.25
2;0.6;7;32;512;2.25;;3.85
4;0.6;7;32;512;2.87;;3.35
1;0.8;7;32;512;2.89;;5.23
2;0.8;7;32;512;2.2;;3.79
4;0.8;7;32;512;2.83;;3.45
1;0.95;7;32;512;2.91;;9.33
2;0.95;7;32;512;2.21;;6.46
4;0.95;7;32;512;2.86;;5.2
1;0.6;10;32;512;4.53;;17.05
2;0.6;10;32;512;3.38;;10.07
4;0.6;10;32;512;3.52;;9.09
1;0.8;10;32;512;4.5;;17.05
2;0.8;10;32;512;3.39;;10.19
4;0.8;10;32;512;3.46;;9.15
1;0.95;10;32;512;4.5;;16.89
2;0.95;10;32;512;3.43;;10.09
4;0.95;10;32;512;3.58;;9.2
1;0.6;3;256;512;9.39;;14.36
2;0.6;3;256;512;6.89;;9.81
4;0.6;3;256;512;6.84;;10.08
1;0.8;3;256;512;9.02;;36.02
2;0.8;3;256;512;6.38;;23.82
4;0.8;3;256;512;6.89;;21.39
1;0.95;3;256;512;9.02;;94.86
2;0.95;3;256;512;6.39;;65.31
4;0.95;3;256;512;6.78;;55.36
1;0.6;7;256;512;17.05;;228.47
2;0.6;7;256;512;10.52;;154.84
4;0.6;7;256;512;9.36;;100.84
1;0.8;7;256;512;17.01;;329.94
2;0.8;7;256;512;10.51;;210.92
4;0.8;7;256;512;9.41;;148.63
1;0.95;7;256;512;17.08;;582.12
